Move,Type,Category,Power,Accuracy,PP,Effect or Similar Moves
Abyssal Slash,Water,Physical,80,100,16,High Critical Hit Ratio
Acid Burn,Poison,Special,90,90,24,Burns Poisoned and Badly Poisoned targets.
Backstab,Dark,Physical,40,100,32,Always results in a critical hit.
Belly Drum,Normal,Status,-,-,16,"If the user is above 50% HP, the user loses 50% max HP, and its Attack is maximized. If user is at or below 50% HP, the user's Attack is sharply raised."
Berry Blast,Normal,Special,-,100,16,Same effect as Natural Gift.
Body Slam,Normal,Physical,85,100,24,May paralyze opponent. (30%)
Boulder Throw,Rock,Physical,60,100,32,-1 Priority
Brutal Uppercut,Fighting,Physical,100,90,16,1/4 Recoil
Bubble,Water,Special,20,100,48,May lower opponent's Speed. (10%)
Bubblebeam,Water,Special,65,100,32,May lower opponent's Speed. (10%)
Bug Buzz,Bug,Special,90,100,16,May lower opponent's Special Defense. (10%)
Bulk Up,Fighting,Status,-,-,32,Raises user's Attack and Defense.
Bullet Seed,Grass,Physical,25,100,48,Hits 25 times in one turn.
Buzz,Bug,Special,20,100,64,20% chance to flinch. Sound move.
Canopy,Grass,Status,-,-,40,Same effect as Safeguard.
Charm,Fairy,Status,-,100,32,Sharply lowers opponent's Attack.
Chirp,Flying,Special,40,100,48,Sound move.
Clay Punch,Ground,Physical,40,100,48,-
Cold Chills,Ice,Status,-,100,32,Reduces target's SpD by 2 stages if they are not a Fire- or Ice-type.
Concealed Power,Normal,Physical,70,100,24,Similar to Hidden Power.
Cool Blast,Ice,Special,50,100,32,-
Corrode,Poison,Special,70,100,24,Reduces target's Def by 1 stage.
Corrosive Acid,Poison,Special,80,90,16,Super Effective on Steel-types.
Covet,Normal,Physical,60,100,64,Opponent's item is stolen by the user.
Crystallize,Rock,Status,-,-,16," +1 Atk, +1 Def, -1 Spe"
Demon Fist,Ghost,Physical,80,100,24,-
Destiny Bond,Ghost,Status,-,-,8,"If the user faints, the opponent also faints."
Dig,Ground,Physical,80,100,16,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Normal,Status,-,100,32,Opponent can't use its last attack for a few turns.
Disorienting Blow,Dark,Physical,50,100,32,Reduces target's SpA by 1 Stage.
Dive Bomb,Flying,Physical,95,100,16,1/4 Recoil.
Double Edge,Normal,Physical,120,100,24,User receives recoil damage.
Dragon Bite,Dragon,Physical,75,100,16,10% flinch chance.
Dragon Fire,Dragon,Special,55,100,24,Hits Steel-types Super Effectively.
Dragon Slam,Dragon,Physical,90,100,16,10% Recoil.
Dragon Smash,Dragon,Physical,100,90,16,1/4 Recoil
Dusk Bomb,Dark,Special,90,100,16,-
Earth Power,Ground,Special,90,100,16,May lower opponent's Special Defense. (10%)
Earthquake,Ground,Physical,100,100,16,Power is doubled if opponent is underground from using Dig.
Ember,Fire,Special,40,100,40,May burn opponent  (10%)
Enchantment,Fairy,Status,-,-,16, +1 SpA / +1 SpD / -1 Spe
Endeavor,Normal,Physical,-,100,8,Reduces opponent's HP to same as user's.
Endure,Normal,Status,-,-,16,"Always left with at least 1 HP, but may fail if used consecutively."
Energy Ball,Grass,Special,80,100,16,May lower opponent's Special Defense.  (10%)
Energy Draw,Electric,Status,-,-,16, +1 SpA / +1 SpD
Energy Fist,Fighting,Special,50,100,16,User recovers100% of the damage dealt.
Enrich,Poison,Status,-,-,16, +1 Def / +1 SpA / -1 Spe
